coded_to,user_common
GCC0744,DGW0752
JOM0750,DGW0752
LAM0911,KMB0922
BMG0917,KMB0922
FOB0756,BEH0615
JJH0613,BEH0615
KRG0158,DJB0159
RVF0201,WBC0192
KBB0189,WBC0192
QCH0110,ESH0283
BLB0114,ESH0283
WDD0366,KRV0372
BMG0917,JMC0925
XWD0923,JMC0925
AMD0077,KTG0091
SIJ0661,TSR0676
MLP0668,TSR0676
HVB0037,RNP0211
CJC0494,XHW0498
CMM0487,DGN0480
CKB0482,DGN0480
OLF0504,DGN0480
KNB0022,LMF0980
SGM0021,LMF0980
FRB0023,LMF0980
NKH0979,LMF0980
BTS0011,LMF0980
SBQ0786,TLM0797
SMY0792,TLM0797
SOF0808,BWH0813
LCC0819,BWH0813
SAT0194,CSP0197
TOR0193,CSP0197
AAE0190,CSP0197
YIC0195,CSP0197
CSB0080,SSG0250
SRH0155,SSG0250
ZFM0468,TVS0006
GRC0145,TVS0006
ICS0956,GNZ0953
ABC0174,RTO0313
BBG0325,RTO0313
LHB0606,LEM0605
KKC0683,EDA0684
RNL0695,EDA0684
HDS0367,SAK0375
AJF0370,SAK0375
ICS0956,VCY0751
JOM0750,VCY0751
SBQ0786,SSH0799
NMF0780,RSC0089
DTT0076,RSC0089
JBM0350,AIS0405
JPA0667,LIM0674
SIJ0661,LIM0674
MLP0668,LIM0674
CKP0721,BMT0528
MVB0515,BMT0528
CIM0926,BMT0528
GCS0518,BMT0528
KJM0887,SVL0803
ZCF0590,MDH0580
LDM0587,MDH0580
JDF0593,MDH0580
SHW0578,MDH0580
KAL0395,CCC0393
RAH0440,MKW0441
SOG0411,RGN0408
KQS0415,RGN0408
DPM0423,RGN0408
LJB0826,ESH0283
BLB0114,ESH0283
ZMC0284,ESH0283
IWM0816,LJT0817
BWH0813,LJT0817
TMA0069,CCL0068
WSR0241,CCL0068
GOK0238,CCL0068
LFS0071,CCL0068
HAH0248,DIB0081
CSB0080,DIB0081
SVS0871,FQA0854
KKW0879,FQA0854
TSR0676,ESJ0670
DAL0673,ESJ0670
NAH0503,KPR0497
LPC0492,KPR0497
CJF0802,SMY0792
SMB0804,SMY0792
SBQ0786,SMY0792
QPM0727,RZC0746
HSB0196,YIC0195
CCM0136,EGD0132
KJA0152,VSS0154
VMJ0147,VSS0154
JGM0934,VSS0154
TCD0009,BTS0011
WKD0013,BTS0011
KWE0082,HAD0246
IIW0249,HAD0246
CSB0080,HAD0246
PEV0323,AJH0175
COM0321,AJH0175
MAW0166,AJH0175
MSZ0310,AJH0175
SBH0537,CEL0561
SSH0799,SMY0792
MCD0125,SAA0999
DTP0379,JAM0382
ASL0378,JAM0382
PIS0522,ASS0517
NBC0412,HCW0419
CJV0286,IUY0279
RHO0732,DSB0731
HJB0742,DSB0731
GMF0738,DSB0731
LCB0664,DSB0731
DIB0285,OKC0107
BJM0111,OKC0107
HRB0351,SOG0411
BBS0422,SOG0411
BIS0247,DIB0081
AAF0791,SSH0799
ABC0174,WBC0315
HKI0171,WBC0315
OHC0973,HCM0267
RNL0695,IAR0694
SAC0687,IAR0694
IYB0918,MBJ0312
WBC0315,MBJ0312
JCR0172,MBJ0312
IMG0320,MBJ0312
DTT0076,RSC0089
PDW0259,RSC0089
AHD0848,RSC0089
RJB0088,RSC0089
NGF0157,CRP0456
BHW0458,CRP0456
JKF0465,CRP0456
TPH0474,CRP0456
PKB0281,NMS0280
PDW0259,VAA0087
SJF0094,VAA0087
TJD0996,SAA0999
JIG0128,SAA0999
JBD0616,CAA0612
PIS0522,IMP0530
BBG0325,IMP0530
GTD0898,IMP0530
BJH0811,SGG0787
KRL0062,SGG0787
IMB0481,KAT0489
JXH0493,KAT0489
SAT0194,YIC0195
AAE0190,YIC0195
TOR0193,YIC0195
HSB0196,YIC0195
WKD0013,TCD0009
SAC0687,QJR0688
MDH0686,QJR0688
HCS0003,MSS0001
IEB0153,VSS0154
KJA0152,VSS0154
EPW0434,OKB0439
MKW0441,OKB0439
ETR0428,OKB0439
UIR0043,CCA0046
KCF0045,CCA0046
FAW0032,CCA0046
DDA0476,SES0477
DBW0483,SES0477
FRB0023,LMF0980
SGM0021,LMF0980
CIM0271,OMS0101
EHR0096,OMS0101
ONL0276,OMS0101
SMW0084,OMS0101
RNF0765,BHC0665
EMW0772,BHC0665
ETR0177,BHC0665
HWW0436,PKB0429
CKB0427,PKB0429
ETR0428,PKB0429
HAC0282,HGN0287
OKC0107,HGN0287
BJM0111,HGN0287
GRM0868,CLF0852
RUM0880,CLF0852
NMC0486,IMB0481
OLF0504,IMB0481
VCY0751,MLD0755
AHC0142,SPA0141
NGO0690,MDH0686
SAC0687,OLW0689
WIF0691,OLW0689
SXM0895,ARB0881
